CLIENTE;MED QTDE PED;MED R$;REGIÃO;VENDEDOR;CIDADE;BAIRRO;ENDEREÇO;LATITUDE;LONGITUDE;ROTA HOJE;DIA HOJE;ORDEM HOJE;ROTA ORIGINAL;AÇÃO;NOVA ROTA;VISITAR QUANTAS X
66325;1,833333333;556,3127273;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;CENTRO;RUA DR MARURI, 1689;-27,22569;-52,01748;1 - ROTA1;2;1;5;MANTER;5;2 VISITAS
66672;2;92,25;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;NOSSA SENHORA DA SALETE;RUA JOAO SUZIN MARINI;-27,21726;-52,01579;1 - ROTA1;2;2;5;MANTER;5;1 VISITA
67268;1,666666667;246,783;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;PRIMAVERA;RUA ANITA GARIBALDI;-27,21399;-52,02176;1 - ROTA1;2;3;5;MANTER;5;1 VISITA
19458;1,5;110,5611111;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;INTERIOR;RODOVIA CAETANO CHIUCHETTA,6630;-27,20365;-52,03026;1 - ROTA1;2;4;5;MANTER;5;1 VISITA
3945;2;728,4916667;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;CONTORNO NORTE;CAETANO CHIUCHETA,6601;-27,20369;-52,03001;1 - ROTA1;2;5;5;MANTER;5;2 VISITAS
15089;2,166666667;56,28538462;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;INTERIOR;LINHA SAO PAULO,S/N-SN;-27,18666;-52,04028;1 - ROTA1;2;6;5;MANTER;5;1 VISITA
64465;1,833333333;119,8309091;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;PRIMAVERA;RUA ANITA GARIBALDI;-27,21169;-52,02016;1 - ROTA1;2;7;5;MANTER;5;1 VISITA
4542;1,833333333;69,92272727;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;CENTRO;RUA DA MARURI,1744;-27,22558;-52,01581;1 - ROTA1;2;8;5;MANTER;5;1 VISITA
4373;2;55,91833333;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;CENTRO;AGOSTINI DETONI,22;-27,22949;-52,01619;1 - ROTA1;2;9;5;MANTER;5;1 VISITA
77409;1;254,8533333;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;CENTRO;RUA DR MARURI;-27,22509;-52,01627;1 - ROTA1;2;10;5;MANTER;5;1 VISITA
79883;1;438,3816667;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;PRIMAVERA;RUA ANITA GARIBALDI;-27,20325;-52,02186;1 - ROTA1;2;11;5;MANTER;5;2 VISITAS
77424;2,166666667;110,0307692;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;NOSSA SENHORA DA SALETE;RUA PADRES FRANCISCANOS;-27,21261;-52,01175;1 - ROTA1;2;12;5;MANTER;5;1 VISITA
13355;1;1021,471667;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;SALETE;RUA JOAO SUZIM MARINI,S/N;-27,21251;-52,01599;1 - ROTA1;2;13;5;MANTER;5;2 VISITAS
78914;1,666666667;115,702;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;NOSSA SENHORA DA SALETE;RUA PADRES FRANCISCANOS;-27,21342;-52,01124;1 - ROTA1;2;14;5;MANTER;5;1 VISITA
4527;1;322,2616667;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;CENTRO;DR. MARURI,1765;-27,2251;-52,01685;1 - ROTA1;2;15;5;MANTER;5;1 VISITA
79632;3,166666667;56,89894737;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;CENTRO;RUA MARECHAL DEODORO;-27,23325;-52,03116;1 - ROTA1;2;16;5;MANTER;5;1 VISITA
79638;2;31,92416667;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;ARVOREDO;RUA DOMINGOS CASAGRANDE;-27,21155;-52,02775;1 - ROTA1;2;17;5;MANTER;5;1 VISITA
79716;1,166666667;19,31285714;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;CENTRO;RUA DA INDEPENDÊNCIA;-27,22917;-52,01902;1 - ROTA1;2;18;5;MANTER;5;1 VISITA
79930;0,833333333;88,838;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;CENTRO;RUA DOUTOR MARURI;-27,23043;-52,02229;1 - ROTA1;2;19;5;MANTER;5;1 VISITA
13443;1,5;48,52222222;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;SALETE;JOAO SUZIN MARINI,867;-27,2176;-52,01578;1 - ROTA1;2;21;5;MANTER;5;1 VISITA
7330;0,833333333;387,272;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;CENTRO;RUA DR. MARURI,S/N-SL 15 RODOV;-27,22772;-52,01872;1 - ROTA1;3;1;5;MANTER;5;1 VISITA
65903;1;284,59;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;IRANI;ALTO IRANI;RODOVIA BR 153;-26,96887;-51,85566;1 - ROTA1;3;1;29;TRANSFERIR (Absorção);5;1 VISITA
66475;1,5;208,7277778;MEIO.OESTE;5 - ROTA 05 - GILIARD DA ROSA;CONCÓRDIA;CENTRO;RUA DR MARURI;-27,22779;-52,01914;1 - ROTA1;3;2;5;MANTER;5;1 VISITA
